datetime,value,datetime_str,datetime_pt,response_time,label
2021-08-25T19:00:00Z,158,1629918000,2021-08-25T19:00:00Z,158,epi
2021-08-25T18:59:00Z,335,1629917940,2021-08-25T18:59:00Z,335,epi
2021-08-25T18:58:00Z,166,1629917880,2021-08-25T18:58:00Z,166,epi
2021-08-25T18:57:00Z,165,1629917820,2021-08-25T18:57:00Z,165,epi
2021-08-25T18:56:00Z,490,1629917760,2021-08-25T18:56:00Z,490,epi
2021-08-25T18:55:00Z,157,1629917700,2021-08-25T18:55:00Z,157,epi
2021-08-25T18:54:00Z,220,1629917640,2021-08-25T18:54:00Z,220,epi
2021-08-25T18:53:00Z,789,1629917580,2021-08-25T18:53:00Z,789,epi
2021-08-25T18:52:00Z,161,1629917520,2021-08-25T18:52:00Z,161,epi
2021-08-25T18:51:00Z,193,1629917460,2021-08-25T18:51:00Z,193,epi
2021-08-25T18:50:00Z,194,1629917400,2021-08-25T18:50:00Z,194,epi
2021-08-25T18:49:00Z,175,1629917340,2021-08-25T18:49:00Z,175,epi
2021-08-25T18:48:00Z,161,1629917280,2021-08-25T18:48:00Z,161,epi
2021-08-25T18:47:00Z,173,1629917220,2021-08-25T18:47:00Z,173,epi
2021-08-25T18:46:00Z,163,1629917160,2021-08-25T18:46:00Z,163,epi
2021-08-25T18:45:00Z,258,1629917100,2021-08-25T18:45:00Z,258,epi
2021-08-25T18:44:00Z,204,1629917040,2021-08-25T18:44:00Z,204,epi
2021-08-25T18:43:00Z,171,1629916980,2021-08-25T18:43:00Z,171,epi
2021-08-25T18:42:00Z,242,1629916920,2021-08-25T18:42:00Z,242,epi
2021-08-25T18:41:00Z,221,1629916860,2021-08-25T18:41:00Z,221,epi
2021-08-25T18:40:00Z,210,1629916800,2021-08-25T18:40:00Z,210,epi
2021-08-25T18:39:00Z,198,1629916740,2021-08-25T18:39:00Z,198,epi
2021-08-25T18:38:00Z,571,1629916680,2021-08-25T18:38:00Z,571,epi
2021-08-25T18:37:00Z,379,1629916620,2021-08-25T18:37:00Z,379,epi
2021-08-25T18:36:00Z,152,1629916560,2021-08-25T18:36:00Z,152,epi
2021-08-25T18:35:00Z,171,1629916500,2021-08-25T18:35:00Z,171,epi
2021-08-25T18:34:00Z,161,1629916440,2021-08-25T18:34:00Z,161,epi
2021-08-25T18:33:00Z,168,1629916380,2021-08-25T18:33:00Z,168,epi
2021-08-25T18:32:00Z,173,1629916320,2021-08-25T18:32:00Z,173,epi
2021-08-25T18:31:00Z,161,1629916260,2021-08-25T18:31:00Z,161,epi
2021-08-25T18:30:00Z,171,1629916200,2021-08-25T18:30:00Z,171,epi
2021-08-25T18:29:00Z,168,1629916140,2021-08-25T18:29:00Z,168,epi
2021-08-25T18:28:00Z,186,1629916080,2021-08-25T18:28:00Z,186,epi
2021-08-25T18:27:00Z,197,1629916020,2021-08-25T18:27:00Z,197,epi
2021-08-25T18:26:00Z,411,1629915960,2021-08-25T18:26:00Z,411,epi
2021-08-25T18:25:00Z,159,1629915900,2021-08-25T18:25:00Z,159,epi
2021-08-25T18:24:00Z,155,1629915840,2021-08-25T18:24:00Z,155,epi
2021-08-25T18:23:00Z,483,1629915780,2021-08-25T18:23:00Z,483,epi
2021-08-25T18:22:00Z,824,1629915720,2021-08-25T18:22:00Z,824,epi
2021-08-25T18:21:00Z,203,1629915660,2021-08-25T18:21:00Z,203,epi
2021-08-25T18:20:00Z,412,1629915600,2021-08-25T18:20:00Z,412,epi
2021-08-25T18:19:00Z,190,1629915540,2021-08-25T18:19:00Z,190,epi
2021-08-25T18:18:00Z,192,1629915480,2021-08-25T18:18:00Z,192,epi
2021-08-25T18:17:00Z,156,1629915420,2021-08-25T18:17:00Z,156,epi
2021-08-25T18:16:00Z,179,1629915360,2021-08-25T18:16:00Z,179,epi
2021-08-25T18:15:00Z,181,1629915300,2021-08-25T18:15:00Z,181,epi
2021-08-25T18:14:00Z,160,1629915240,2021-08-25T18:14:00Z,160,epi
2021-08-25T18:13:00Z,180,1629915180,2021-08-25T18:13:00Z,180,epi
2021-08-25T18:12:00Z,166,1629915120,2021-08-25T18:12:00Z,166,epi
2021-08-25T18:11:00Z,183,1629915060,2021-08-25T18:11:00Z,183,epi
2021-08-25T18:10:00Z,167,1629915000,2021-08-25T18:10:00Z,167,epi
2021-08-25T18:09:00Z,168,1629914940,2021-08-25T18:09:00Z,168,epi
2021-08-25T18:08:00Z,163,1629914880,2021-08-25T18:08:00Z,163,epi
2021-08-25T18:07:00Z,152,1629914820,2021-08-25T18:07:00Z,152,epi
2021-08-25T18:06:00Z,170,1629914760,2021-08-25T18:06:00Z,170,epi
