datetime,value,datetime_str,datetime_pt,response_time,label
2021-08-23T19:00:00Z,1745,1629745200,2021-08-23T19:00:00Z,1745,epi
2021-08-23T18:59:00Z,1748,1629745140,2021-08-23T18:59:00Z,1748,epi
2021-08-23T18:58:00Z,247,1629745080,2021-08-23T18:58:00Z,247,epi
2021-08-23T18:57:00Z,829,1629745020,2021-08-23T18:57:00Z,829,epi
2021-08-23T18:56:00Z,1869,1629744960,2021-08-23T18:56:00Z,1869,epi
2021-08-23T18:55:00Z,370,1629744900,2021-08-23T18:55:00Z,370,epi
2021-08-23T18:54:00Z,265,1629744840,2021-08-23T18:54:00Z,265,epi
2021-08-23T18:53:00Z,768,1629744780,2021-08-23T18:53:00Z,768,epi
2021-08-23T18:52:00Z,6672,1629744720,2021-08-23T18:52:00Z,6672,epi
2021-08-23T18:51:00Z,215,1629744660,2021-08-23T18:51:00Z,215,epi
2021-08-23T18:50:00Z,151,1629744600,2021-08-23T18:50:00Z,151,epi
2021-08-23T18:49:00Z,169,1629744540,2021-08-23T18:49:00Z,169,epi
2021-08-23T18:48:00Z,172,1629744480,2021-08-23T18:48:00Z,172,epi
2021-08-23T18:47:00Z,211,1629744420,2021-08-23T18:47:00Z,211,epi
2021-08-23T18:46:00Z,141,1629744360,2021-08-23T18:46:00Z,141,epi
2021-08-23T18:45:00Z,263,1629744300,2021-08-23T18:45:00Z,263,epi
2021-08-23T18:44:00Z,163,1629744240,2021-08-23T18:44:00Z,163,epi
2021-08-23T18:43:00Z,240,1629744180,2021-08-23T18:43:00Z,240,epi
2021-08-23T18:42:00Z,152,1629744120,2021-08-23T18:42:00Z,152,epi
2021-08-23T18:39:00Z,700,1629743940,2021-08-23T18:39:00Z,700,epi
2021-08-23T18:36:00Z,407,1629743760,2021-08-23T18:36:00Z,407,epi
2021-08-23T18:35:00Z,2413,1629743700,2021-08-23T18:35:00Z,2413,epi
2021-08-23T18:34:00Z,450,1629743640,2021-08-23T18:34:00Z,450,epi
2021-08-23T18:33:00Z,188,1629743580,2021-08-23T18:33:00Z,188,epi
2021-08-23T18:32:00Z,182,1629743520,2021-08-23T18:32:00Z,182,epi
2021-08-23T18:31:00Z,250,1629743460,2021-08-23T18:31:00Z,250,epi
2021-08-23T18:30:00Z,182,1629743400,2021-08-23T18:30:00Z,182,epi
2021-08-23T18:29:00Z,230,1629743340,2021-08-23T18:29:00Z,230,epi
2021-08-23T18:28:00Z,178,1629743280,2021-08-23T18:28:00Z,178,epi
2021-08-23T18:27:00Z,242,1629743220,2021-08-23T18:27:00Z,242,epi
2021-08-23T18:26:00Z,536,1629743160,2021-08-23T18:26:00Z,536,epi
2021-08-23T18:25:00Z,654,1629743100,2021-08-23T18:25:00Z,654,epi
2021-08-23T18:24:00Z,210,1629743040,2021-08-23T18:24:00Z,210,epi
2021-08-23T18:23:00Z,230,1629742980,2021-08-23T18:23:00Z,230,epi
2021-08-23T18:22:00Z,1076,1629742920,2021-08-23T18:22:00Z,1076,epi
2021-08-23T18:21:00Z,176,1629742860,2021-08-23T18:21:00Z,176,epi
2021-08-23T18:20:00Z,1389,1629742800,2021-08-23T18:20:00Z,1389,epi
