date,location,lineage,Prevalence_7,deltaPrevalence_7,N_7,deltaN_7,N_prev_7,deltaN_prev_7,growth_rate,uncertainty,invUncertainty,uncertainty95,uncertainty80,uncertainty65,uncertainty50,uncertainty35,uncertainty20,uncertainty5
2023-01-15,Great Britain,XBB.1.5.19,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-25,Great Britain,XBB.1.5.19,0.0002244411441419,0.0001224472525262,2.0,8907.0,0.0,0.0,-0.27845552938814433,27.271817558753188,0.03666788976736313,53.45276241515625,34.90792647520408,25.362790329640465,18.272117764364637,12.272317901438935,6.817954389688297,1.6363090535251912
2023-01-27,Great Britain,XBB.1.5.19,0.0002019647518077,7.345515170512041e-05,3.0,14848.0,0.0,0.0,-0.39069075391200625,23.02972480972981,0.04342214282897166,45.13826062707043,29.478047756454156,21.417644073048724,15.429915622518974,10.363376164378415,5.7574312024324525,1.3817834885837885
2023-01-30,Great Britain,XBB.1.5.19,0.0002068661841632,4.190219841917705e-05,6.0,27882.0,1.0,4335.0,-0.04609640896582956,0.20905552511173423,4.7834181826360656,0.4097488292189991,0.2675910721430198,0.19442163835391285,0.14006720182486193,0.0940749863002804,0.052263881277933556,0.012543331506704053
2023-01-31,Great Britain,XBB.1.5.19,0.0002043601041806,5.0830856346299305e-05,5.0,23310.0,1.0,4335.0,-0.04519040877234126,0.20925408222796826,4.778879290443506,0.4101380011668178,0.2678452252517994,0.1946062964720105,0.14020023509273874,0.09416433700258572,0.052313520556992066,0.012555244933678095
2023-02-01,Great Britain,XBB.1.5.19,0.0002220879243062,4.498670755874696e-05,6.0,26097.0,1.0,4335.0,-0.046040549542277875,0.209067767146708,4.783138087940047,0.4097728236075477,0.2676067419477862,0.19443302344643845,0.14007540398829438,0.0940804952160186,0.052266941786677,0.012544066028802479
2023-02-02,Great Britain,XBB.1.5.19,0.0002349956215674,4.014883232686348e-05,7.0,29018.0,1.0,4335.0,-0.046895227932441275,0.20888045761004553,4.787427275111004,0.40940569691568923,0.26736698574085827,0.19425882557734236,0.13994990659873052,0.09399620592452049,0.05222011440251138,0.012532827456602731
2023-02-04,Great Britain,XBB.1.5.19,0.0002109949186422,3.837088029584296e-05,6.0,28424.0,4.0,16316.0,-0.03558211752411855,0.06742736725423545,14.830773330204213,0.13215763981830148,0.08630703008542139,0.06270745154643897,0.04517633606033776,0.030342315264405954,0.016856841813558864,0.004045642035254127
2023-02-05,Great Britain,XBB.1.5.19,0.0002217037863433,4.8382692927920526e-05,5.0,22542.0,3.0,11981.0,-0.0322644228274771,0.09908622280663688,10.092220408395859,0.1942089967010083,0.12683036519249521,0.0921501872101723,0.06638776928044672,0.044588800262986596,0.02477155570165922,0.005945173368398213
2023-02-06,Great Britain,XBB.1.5.19,0.0003599190559928,6.069078816938852e-05,17.0,21700.0,4.0,17428.0,0.11403970795104068,0.07089630903273005,14.10510665002799,0.1389567657041509,0.09074727556189446,0.06593356740043894,0.047500527051929135,0.031903339064728524,0.01772407725818251,0.0042537785419638026
2023-02-07,Great Britain,XBB.1.5.19,0.0003214552745295,4.694910525592419e-05,18.0,26960.0,4.0,17428.0,0.11372728367149953,0.07087642668193626,14.109063433567009,0.13891779629659506,0.09072182615287842,0.06591507681420072,0.0474872058768973,0.03189439200687132,0.017719106670484066,0.004252585600916176
2023-02-09,Great Britain,XBB.1.5.19,0.0003852116402069,5.747236441375444e-05,20.0,24411.0,5.0,20215.0,0.12347854038926043,0.052618777531227096,19.004622435527715,0.10313280396120511,0.06735203523997069,0.048935463104041205,0.035254580945922154,0.023678449889052194,0.013154694382806774,0.0031571266518736255
